location,date,new_cases,new_deaths,population_density
Japan,2022/1/1,504,0,347.778
Japan,2022/1/2,516,,347.778
Japan,2022/1/3,783,2,347.778
Japan,2022/1/4,1256,1,347.778
Japan,2022/1/5,,1,347.778
Japan,2022/1/6,4194,,347.778
Japan,2022/1/7,5983,0,347.778
Japan,2022/1/8,7930,2,347.778
Japan,2022/1/9,8144,2,347.778
Japan,2022/1/10,6394,3,347.778
Japan,2022/1/11,6829,2,347.778
Japan,2022/1/12,12243,5,347.778
Japan,2022/1/13,17940,2,347.778
Japan,2022/1/14,21241,,347.778
Japan,2022/1/15,22707,6,347.778
Japan,2022/1/16,26881,2,347.778
Japan,2022/1/17,23351,1,347.778
Japan,2022/1/18,29862,10,347.778
Japan,2022/1/19,39841,13,347.778
Japan,2022/1/20,44638,12,347.778
Japan,2022/1/21,49531,9,347.778
Japan,2022/1/22,54180,12,347.778
Japan,2022/1/23,48411,16,347.778
Japan,2022/1/24,47176,17,347.778
Japan,2022/1/25,60933,36,347.778
Japan,2022/1/26,69736,40,347.778
Japan,2022/1/27,73945,43,347.778
Japan,2022/1/28,80994,44,347.778
Japan,2022/1/29,82159,43,347.778
Japan,2022/1/30,85042,,347.778
Japan,2022/1/31,,28,347.778
Japan,2022/2/1,80222,79,347.778
Japan,2022/2/2,93388,78,347.778
Japan,2022/2/3,103038,90,347.778
Japan,2022/2/4,99299,92,347.778
Japan,2022/2/5,100949,126,347.778
Japan,2022/2/6,92865,67,347.778
Japan,2022/2/7,71708,122,347.778
Japan,2022/2/8,95945,,347.778
Japan,2022/2/9,97946,155,347.778
Japan,2022/2/10,100097,175,347.778
Japan,2022/2/11,98173,142,347.778
Japan,2022/2/12,67506,143,347.778
Japan,2022/2/13,80234,157,347.778
Japan,2022/2/14,63581,135,347.778
Japan,2022/2/15,79896,207,347.778
Japan,2022/2/16,90522,253,347.778
Japan,2022/2/17,95603,244,347.778
Japan,2022/2/18,92939,235,347.778
Japan,2022/2/19,77153,203,347.778
Japan,2022/2/20,72861,185,347.778
Japan,2022/2/21,55903,179,347.778
Japan,2022/2/22,66373,272,347.778
Japan,2022/2/23,77810,257,347.778
Japan,2022/2/24,65657,226,347.778
Japan,2022/2/25,65196,256,347.778
Japan,2022/2/26,69661,259,347.778
Japan,2022/2/27,69267,0,347.778
Japan,2022/2/28,51272,363,347.778
Japan,2022/3/1,61843,227,347.778
Japan,2022/3/2,71570,232,347.778
Japan,2022/3/3,70958,257,347.778
Japan,2022/3/4,64333,255,347.778
Japan,2022/3/5,63520,185,347.778
Japan,2022/3/6,55417,146,347.778
Japan,2022/3/7,40575,114,347.778
Japan,2022/3/8,49416,232,347.778
Japan,2022/3/9,62747,205,347.778
Japan,2022/3/10,62825,211,347.778
Japan,2022/3/11,55970,163,347.778
Japan,2022/3/12,55328,169,347.778
Japan,2022/3/13,52002,125,347.778
Japan,2022/3/14,35846,108,347.778
Japan,2022/3/15,45649,180,347.778
Japan,2022/3/16,57922,158,347.778
Japan,2022/3/17,,164,347.778
Japan,2022/3/18,49246,155,347.778
Japan,2022/3/19,45733,126,347.778
Japan,2022/3/20,42151,0,347.778
Japan,2022/3/21,27701,131,347.778
Japan,2022/3/22,21420,70,347.778
Japan,2022/3/23,36605,110,347.778
Japan,2022/3/24,49063,129,347.778
Japan,2022/3/25,48228,116,347.778
Japan,2022/3/26,47047,,347.778
Japan,2022/3/27,,68,347.778
Japan,2022/3/28,32916,64,347.778
Japan,2022/3/29,41473,82,347.778
Japan,2022/3/30,52765,97,347.778
Japan,2022/3/31,48047,,347.778
,,,,
